,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core, Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Screen_Size_inch,Price-binned,Screen-Full_HD,Screen-IPS_panel
124,124,Lenovo,3,2,1,5,14.0,0.55,8,256,3.86,1333,14.0,Low,False,True
125,125,Lenovo,3,3,1,5,15.0,0.86,8,256,5.07,1286,15.0,Low,False,True
126,126,Lenovo,3,2,1,7,15.6,0.62,8,256,4.78,1142,15.6,Low,True,False
127,127,Lenovo,3,2,1,3,13.0,0.83,8,256,3.09,1206,13.0,Low,False,True
128,128,Lenovo,3,2,1,5,15.0,0.86,8,256,5.07,1157,15.0,Low,False,True
129,129,Lenovo,3,2,1,5,13.3,0.86,8,256,3.18,1206,13.3,Low,True,False
130,130,Dell,4,2,1,5,13.3,0.86,8,128,2.84,1142,13.3,Low,False,True
131,131,HP,3,3,1,5,15.6,0.86,8,256,4.5,1129,15.6,Low,True,False
132,132,HP,4,2,1,7,13.0,0.93,8,256,2.91,1777,13.0,Medium,False,True
133,133,Dell,3,2,1,5,14.0,0.9,8,256,3.62,1626,14.0,Medium,True,False
134,134,Lenovo,3,2,1,5,14.0,0.79,8,256,4.45,1702,14.0,Medium,True,False
135,135,Dell,3,2,1,5,15.6,0.97,8,256,4.19,1749,15.6,Medium,True,False
136,136,Dell,3,3,1,7,15.6,0.97,8,256,4.26,1739,15.6,Medium,True,False
137,137,Dell,3,1,1,5,15.6,0.55,8,256,4.85,1013,15.6,Low,True,False
138,138,Lenovo,3,3,1,7,14.0,0.93,8,256,4.12,1091,14.0,Low,False,True
139,139,Dell,3,2,1,3,14.0,0.69,4,128,3.53,935,14.0,Low,True,False
140,140,HP,3,2,1,3,15.6,0.83,4,128,4.63,896,15.6,Low,True,False
141,141,Lenovo,3,2,1,3,15.6,0.69,4,128,4.85,634,15.6,Low,True,False
142,142,Dell,3,2,1,5,15.6,0.86,8,256,4.19,1419,15.6,Low,True,False
143,143,Lenovo,3,2,1,3,15.6,0.93,4,128,4.52,800,15.6,Low,True,False
144,144,Lenovo,3,3,1,7,17.0,0.97,8,256,7.5,3810,17.0,High,False,True
145,145,Lenovo,3,2,1,5,15.6,0.86,8,256,5.07,1054,15.6,Low,True,False
146,146,Dell,3,1,2,7,15.6,0.93,8,256,4.85,951,15.6,Low,True,False
147,147,HP,3,2,1,3,13.3,0.83,4,128,3.29,913,13.3,Low,True,False
148,148,Dell,3,3,1,7,15.6,0.97,16,256,4.26,1953,15.6,Medium,True,False
149,149,Lenovo,4,2,1,7,14.0,0.9,12,256,3.09,2125,14.0,Medium,False,True
150,150,Lenovo,3,2,1,5,14.0,0.86,8,256,3.75,1872,14.0,Medium,False,True
151,151,Dell,5,3,1,7,15.6,0.97,8,256,4.54,2240,15.6,Medium,True,False
152,152,HP,3,2,1,7,15.6,0.93,8,256,4.06,1548,15.6,Low,True,False
